HCHO Reading,Location,Current Date,Next Date
9.296972991768896e-05,"Deniyaya, Matara",2019-04-04,2019-04-05
,"Deniyaya, Matara",2019-04-05,2019-04-06
0.0001659114059293,"Deniyaya, Matara",2019-04-06,2019-04-07
,"Deniyaya, Matara",2019-04-07,2019-04-08
0.000143890350864,"Deniyaya, Matara",2019-04-08,2019-04-09
,"Deniyaya, Matara",2019-04-09,2019-04-10
6.20313630194549e-05,"Deniyaya, Matara",2019-04-10,2019-04-11
8.426213025813922e-05,"Deniyaya, Matara",2019-04-11,2019-04-12
0.0001655760267849,"Deniyaya, Matara",2019-04-12,2019-04-13
0.0002243445980376,"Deniyaya, Matara",2019-04-13,2019-04-14
,"Deniyaya, Matara",2019-04-14,2019-04-15
,"Deniyaya, Matara",2019-04-15,2019-04-16
,"Deniyaya, Matara",2019-04-16,2019-04-17
,"Deniyaya, Matara",2019-04-17,2019-04-18
0.0001076937462352,"Deniyaya, Matara",2019-04-18,2019-04-19
,"Deniyaya, Matara",2019-04-19,2019-04-20
,"Deniyaya, Matara",2019-04-20,2019-04-21
,"Deniyaya, Matara",2019-04-21,2019-04-22
0.0001167011796496,"Deniyaya, Matara",2019-04-22,2019-04-23
5.12579766773392e-05,"Deniyaya, Matara",2019-04-23,2019-04-24
0.0001783669821192,"Deniyaya, Matara",2019-04-24,2019-04-25
,"Deniyaya, Matara",2019-04-25,2019-04-26
,"Deniyaya, Matara",2019-04-26,2019-04-27
,"Deniyaya, Matara",2019-04-27,2019-04-28
0.0001871501881396,"Deniyaya, Matara",2019-04-28,2019-04-29
,"Deniyaya, Matara",2019-04-29,2019-04-30
,"Deniyaya, Matara",2019-04-30,2019-05-01
0.0001513876780742,"Deniyaya, Matara",2019-05-01,2019-05-02
,"Deniyaya, Matara",2019-05-02,2019-05-03
,"Deniyaya, Matara",2019-05-03,2019-05-04
5.434144155589335e-05,"Deniyaya, Matara",2019-05-04,2019-05-05
7.521904743490836e-05,"Deniyaya, Matara",2019-05-05,2019-05-06
6.477919130672735e-05,"Deniyaya, Matara",2019-05-06,2019-05-07
8.903688521043591e-05,"Deniyaya, Matara",2019-05-07,2019-05-08
0.0001266048084834,"Deniyaya, Matara",2019-05-08,2019-05-09
0.0001186255669854,"Deniyaya, Matara",2019-05-09,2019-05-10
8.904187787431491e-05,"Deniyaya, Matara",2019-05-10,2019-05-11
2.949114473778149e-05,"Deniyaya, Matara",2019-05-11,2019-05-12
4.16907598251222e-05,"Deniyaya, Matara",2019-05-12,2019-05-13
,"Deniyaya, Matara",2019-05-13,2019-05-14
9.758382500903084e-05,"Deniyaya, Matara",2019-05-14,2019-05-15
0.0001890657581933,"Deniyaya, Matara",2019-05-15,2019-05-16
0.0001197343556303,"Deniyaya, Matara",2019-05-16,2019-05-17
0.0001049880638621,"Deniyaya, Matara",2019-05-17,2019-05-18
,"Deniyaya, Matara",2019-05-18,2019-05-19
9.658265808306529e-05,"Deniyaya, Matara",2019-05-19,2019-05-20
1.0668271897884551e-05,"Deniyaya, Matara",2019-05-20,2019-05-21
0.000314141457475,"Deniyaya, Matara",2019-05-21,2019-05-22
,"Deniyaya, Matara",2019-05-22,2019-05-23
,"Deniyaya, Matara",2019-05-23,2019-05-24
8.360032868662833e-05,"Deniyaya, Matara",2019-05-24,2019-05-25
5.2382561264022686e-05,"Deniyaya, Matara",2019-05-25,2019-05-26
0.0001127015595865,"Deniyaya, Matara",2019-05-26,2019-05-27
0.000110648214343,"Deniyaya, Matara",2019-05-27,2019-05-28
0.0001113564054257,"Deniyaya, Matara",2019-05-28,2019-05-29
,"Deniyaya, Matara",2019-05-29,2019-05-30
,"Deniyaya, Matara",2019-05-30,2019-05-31
0.0001309619983658,"Deniyaya, Matara",2019-05-31,2019-06-01
7.860539060937241e-05,"Deniyaya, Matara",2019-06-01,2019-06-02
,"Deniyaya, Matara",2019-06-02,2019-06-03
1.947566942113532e-05,"Deniyaya, Matara",2019-06-03,2019-06-04
,"Deniyaya, Matara",2019-06-04,2019-06-05
,"Deniyaya, Matara",2019-06-05,2019-06-06
,"Deniyaya, Matara",2019-06-06,2019-06-07
,"Deniyaya, Matara",2019-06-07,2019-06-08
,"Deniyaya, Matara",2019-06-08,2019-06-09
8.82573060809885e-05,"Deniyaya, Matara",2019-06-09,2019-06-10
,"Deniyaya, Matara",2019-06-10,2019-06-11
0.0002606536600287,"Deniyaya, Matara",2019-06-11,2019-06-12
,"Deniyaya, Matara",2019-06-12,2019-06-13
0.0001034896122957,"Deniyaya, Matara",2019-06-13,2019-06-14
,"Deniyaya, Matara",2019-06-14,2019-06-15
9.794863285570833e-05,"Deniyaya, Matara",2019-06-15,2019-06-16
