HCHO Reading,Current Date,Next Date,Location
0.00010055831929435644,2019-01-01,2019-01-02,"Deniyaya, Matara"
5.803530712000793e-06,2019-01-02,2019-01-03,"Deniyaya, Matara"
0.0002362357772653,2019-01-03,2019-01-04,"Deniyaya, Matara"
6.437245753953118e-05,2019-01-04,2019-01-05,"Deniyaya, Matara"
5.349707092885017e-05,2019-01-05,2019-01-06,"Deniyaya, Matara"
0.0001315594859189,2019-01-06,2019-01-07,"Deniyaya, Matara"
6.269859896976347e-05,2019-01-07,2019-01-08,"Deniyaya, Matara"
2.298263979970634e-05,2019-01-08,2019-01-09,"Deniyaya, Matara"
0.00010049263793638528,2019-01-09,2019-01-10,"Deniyaya, Matara"
7.190247186715247e-05,2019-01-10,2019-01-11,"Deniyaya, Matara"
0.0001542091441034,2019-01-11,2019-01-12,"Deniyaya, Matara"
0.0001406986305217,2019-01-12,2019-01-13,"Deniyaya, Matara"
0.00010045979725739969,2019-01-13,2019-01-14,"Deniyaya, Matara"
0.00010045158708765329,2019-01-14,2019-01-15,"Deniyaya, Matara"
7.187311712186784e-05,2019-01-15,2019-01-16,"Deniyaya, Matara"
3.5053075407631695e-05,2019-01-16,2019-01-17,"Deniyaya, Matara"
0.0001694853136055,2019-01-17,2019-01-18,"Deniyaya, Matara"
0.0003082256948783,2019-01-18,2019-01-19,"Deniyaya, Matara"
0.0008997101837438,2019-01-19,2019-01-20,"Deniyaya, Matara"
6.0375266285424514e-05,2019-01-20,2019-01-21,"Deniyaya, Matara"
-7.58294658224229e-05,2019-01-21,2019-01-22,"Deniyaya, Matara"
3.363791867442001e-05,2019-01-22,2019-01-23,"Deniyaya, Matara"
0.0001753175803488,2019-01-23,2019-01-24,"Deniyaya, Matara"
5.2793313875356256e-05,2019-01-24,2019-01-25,"Deniyaya, Matara"
0.00010036127522044295,2019-01-25,2019-01-26,"Deniyaya, Matara"
0.00010035306505069655,2019-01-26,2019-01-27,"Deniyaya, Matara"
0.00010034485488095016,2019-01-27,2019-01-28,"Deniyaya, Matara"
0.0001586517467092,2019-01-28,2019-01-29,"Deniyaya, Matara"
0.0001037720817875,2019-01-29,2019-01-30,"Deniyaya, Matara"
0.00010032022437171096,2019-01-30,2019-01-31,"Deniyaya, Matara"
4.768084267461017e-05,2019-01-31,2019-02-01,"Deniyaya, Matara"
5.617168790830808e-05,2019-02-01,2019-02-02,"Deniyaya, Matara"
-1.3768205917585874e-06,2019-02-02,2019-02-03,"Deniyaya, Matara"
0.0001028843263981,2019-02-03,2019-02-04,"Deniyaya, Matara"
0.000103548176412,2019-02-04,2019-02-05,"Deniyaya, Matara"
8.412867361170815e-05,2019-02-05,2019-02-06,"Deniyaya, Matara"
-2.009600759496182e-06,2019-02-06,2019-02-07,"Deniyaya, Matara"
0.0001495798303155,2019-02-07,2019-02-08,"Deniyaya, Matara"
0.0002421511611906,2019-02-08,2019-02-09,"Deniyaya, Matara"
0.000100238122674247,2019-02-09,2019-02-10,"Deniyaya, Matara"
0.00010022991250450061,2019-02-10,2019-02-11,"Deniyaya, Matara"
9.253276543587998e-05,2019-02-11,2019-02-12,"Deniyaya, Matara"
0.0001574102690481,2019-02-12,2019-02-13,"Deniyaya, Matara"
6.523994226828871e-05,2019-02-13,2019-02-14,"Deniyaya, Matara"
-0.0001202388983189,2019-02-14,2019-02-15,"Deniyaya, Matara"
0.00010018886165576864,2019-02-15,2019-02-16,"Deniyaya, Matara"
8.038732615390482e-05,2019-02-16,2019-02-17,"Deniyaya, Matara"
0.0005638530012409,2019-02-17,2019-02-18,"Deniyaya, Matara"
0.0001293821304845,2019-02-18,2019-02-19,"Deniyaya, Matara"
0.0001168615135118,2019-02-19,2019-02-20,"Deniyaya, Matara"
8.337509543093406e-05,2019-02-20,2019-02-21,"Deniyaya, Matara"
2.514510513135289e-05,2019-02-21,2019-02-22,"Deniyaya, Matara"
0.0001425070075459,2019-02-22,2019-02-23,"Deniyaya, Matara"
0.0001366694245436,2019-02-23,2019-02-24,"Deniyaya, Matara"
0.0001627625602433,2019-02-24,2019-02-25,"Deniyaya, Matara"
0.0001543677869547,2019-02-25,2019-02-26,"Deniyaya, Matara"
0.00010009854978855828,2019-02-26,2019-02-27,"Deniyaya, Matara"
0.00010009033961881189,2019-02-27,2019-02-28,"Deniyaya, Matara"
0.0001663931743162,2019-02-28,2019-03-01,"Deniyaya, Matara"
0.0001000739192793191,2019-03-01,2019-03-02,"Deniyaya, Matara"
-2.715724766397789e-05,2019-03-02,2019-03-03,"Deniyaya, Matara"
0.0004122660029679,2019-03-03,2019-03-04,"Deniyaya, Matara"
0.00010004928877007991,2019-03-04,2019-03-05,"Deniyaya, Matara"
0.00010004107860033352,2019-03-05,2019-03-06,"Deniyaya, Matara"
9.971738595225878e-05,2019-03-06,2019-03-07,"Deniyaya, Matara"
0.0001356645928779,2019-03-07,2019-03-08,"Deniyaya, Matara"
9.87355639618488e-05,2019-03-08,2019-03-09,"Deniyaya, Matara"
0.00010000823792134793,2019-03-09,2019-03-10,"Deniyaya, Matara"
5.646698909773664e-05,2019-03-10,2019-03-11,"Deniyaya, Matara"
0.0001590144307147,2019-03-11,2019-03-12,"Deniyaya, Matara"
0.0001171489486397,2019-03-12,2019-03-13,"Deniyaya, Matara"
9.997539724236235e-05,2019-03-13,2019-03-14,"Deniyaya, Matara"
0.0002678319367111,2019-03-14,2019-03-15,"Deniyaya, Matara"
0.0001973485736028,2019-03-15,2019-03-16,"Deniyaya, Matara"
5.13548232774661e-05,2019-03-16,2019-03-17,"Deniyaya, Matara"
9.994255656337677e-05,2019-03-17,2019-03-18,"Deniyaya, Matara"
4.457512841327116e-05,2019-03-18,2019-03-19,"Deniyaya, Matara"
0.0002551880668476,2019-03-19,2019-03-20,"Deniyaya, Matara"
8.954724124801195e-05,2019-03-20,2019-03-21,"Deniyaya, Matara"
9.990971588439119e-05,2019-03-21,2019-03-22,"Deniyaya, Matara"
0.0001081070493299,2019-03-22,2019-03-23,"Deniyaya, Matara"
0.0001883458499592,2019-03-23,2019-03-24,"Deniyaya, Matara"
0.000171727504349,2019-03-24,2019-03-25,"Deniyaya, Matara"
0.0003326517375935,2019-03-25,2019-03-26,"Deniyaya, Matara"
0.0001650504145461,2019-03-26,2019-03-27,"Deniyaya, Matara"
0.0001789494366016,2019-03-27,2019-03-28,"Deniyaya, Matara"
0.0001818030703527,2019-03-28,2019-03-29,"Deniyaya, Matara"
4.044847087752865e-05,2019-03-29,2019-03-30,"Deniyaya, Matara"
-3.0314153493748305e-05,2019-03-30,2019-03-31,"Deniyaya, Matara"
9.982761418692723e-05,2019-03-31,2019-04-01,"Deniyaya, Matara"
0.0001046297780589,2019-04-01,2019-04-02,"Deniyaya, Matara"
8.128573946871756e-05,2019-04-02,2019-04-03,"Deniyaya, Matara"
6.149668792726311e-05,2019-04-03,2019-04-04,"Deniyaya, Matara"
9.296972991768896e-05,2019-04-04,2019-04-05,"Deniyaya, Matara"
9.978656333819525e-05,2019-04-05,2019-04-06,"Deniyaya, Matara"
0.0001659114059293,2019-04-06,2019-04-07,"Deniyaya, Matara"
9.977014299870247e-05,2019-04-07,2019-04-08,"Deniyaya, Matara"
0.000143890350864,2019-04-08,2019-04-09,"Deniyaya, Matara"
9.975372265920967e-05,2019-04-09,2019-04-10,"Deniyaya, Matara"
6.20313630194549e-05,2019-04-10,2019-04-11,"Deniyaya, Matara"
8.426213025813922e-05,2019-04-11,2019-04-12,"Deniyaya, Matara"
0.0001655760267849,2019-04-12,2019-04-13,"Deniyaya, Matara"
0.0002243445980376,2019-04-13,2019-04-14,"Deniyaya, Matara"
9.971267181047769e-05,2019-04-14,2019-04-15,"Deniyaya, Matara"
9.97044616407313e-05,2019-04-15,2019-04-16,"Deniyaya, Matara"
9.969625147098491e-05,2019-04-16,2019-04-17,"Deniyaya, Matara"
9.968804130123851e-05,2019-04-17,2019-04-18,"Deniyaya, Matara"
0.0001076937462352,2019-04-18,2019-04-19,"Deniyaya, Matara"
9.967162096174572e-05,2019-04-19,2019-04-20,"Deniyaya, Matara"
9.966341079199932e-05,2019-04-20,2019-04-21,"Deniyaya, Matara"
9.965520062225292e-05,2019-04-21,2019-04-22,"Deniyaya, Matara"
0.0001167011796496,2019-04-22,2019-04-23,"Deniyaya, Matara"
5.12579766773392e-05,2019-04-23,2019-04-24,"Deniyaya, Matara"
0.0001783669821192,2019-04-24,2019-04-25,"Deniyaya, Matara"
9.962235994326735e-05,2019-04-25,2019-04-26,"Deniyaya, Matara"
9.961414977352095e-05,2019-04-26,2019-04-27,"Deniyaya, Matara"
9.960593960377455e-05,2019-04-27,2019-04-28,"Deniyaya, Matara"
0.0001871501881396,2019-04-28,2019-04-29,"Deniyaya, Matara"
9.958951926428176e-05,2019-04-29,2019-04-30,"Deniyaya, Matara"
9.958130909453536e-05,2019-04-30,2019-05-01,"Deniyaya, Matara"
0.0001513876780742,2019-05-01,2019-05-02,"Deniyaya, Matara"
9.956488875504257e-05,2019-05-02,2019-05-03,"Deniyaya, Matara"
9.955667858529618e-05,2019-05-03,2019-05-04,"Deniyaya, Matara"
5.434144155589335e-05,2019-05-04,2019-05-05,"Deniyaya, Matara"
7.521904743490836e-05,2019-05-05,2019-05-06,"Deniyaya, Matara"
6.477919130672735e-05,2019-05-06,2019-05-07,"Deniyaya, Matara"
8.903688521043591e-05,2019-05-07,2019-05-08,"Deniyaya, Matara"
0.0001266048084834,2019-05-08,2019-05-09,"Deniyaya, Matara"
0.0001186255669854,2019-05-09,2019-05-10,"Deniyaya, Matara"
8.904187787431491e-05,2019-05-10,2019-05-11,"Deniyaya, Matara"
2.949114473778149e-05,2019-05-11,2019-05-12,"Deniyaya, Matara"
4.16907598251222e-05,2019-05-12,2019-05-13,"Deniyaya, Matara"
9.947457688783223e-05,2019-05-13,2019-05-14,"Deniyaya, Matara"
9.758382500903084e-05,2019-05-14,2019-05-15,"Deniyaya, Matara"
0.0001890657581933,2019-05-15,2019-05-16,"Deniyaya, Matara"
0.0001197343556303,2019-05-16,2019-05-17,"Deniyaya, Matara"
0.0001049880638621,2019-05-17,2019-05-18,"Deniyaya, Matara"
9.943352603910024e-05,2019-05-18,2019-05-19,"Deniyaya, Matara"
9.658265808306529e-05,2019-05-19,2019-05-20,"Deniyaya, Matara"
1.0668271897884551e-05,2019-05-20,2019-05-21,"Deniyaya, Matara"
0.000314141457475,2019-05-21,2019-05-22,"Deniyaya, Matara"
9.940068536011467e-05,2019-05-22,2019-05-23,"Deniyaya, Matara"
9.939247519036827e-05,2019-05-23,2019-05-24,"Deniyaya, Matara"
8.360032868662833e-05,2019-05-24,2019-05-25,"Deniyaya, Matara"
5.2382561264022686e-05,2019-05-25,2019-05-26,"Deniyaya, Matara"
0.0001127015595865,2019-05-26,2019-05-27,"Deniyaya, Matara"
0.000110648214343,2019-05-27,2019-05-28,"Deniyaya, Matara"
0.0001113564054257,2019-05-28,2019-05-29,"Deniyaya, Matara"
9.934321417188989e-05,2019-05-29,2019-05-30,"Deniyaya, Matara"
9.93350040021435e-05,2019-05-30,2019-05-31,"Deniyaya, Matara"
0.0001309619983658,2019-05-31,2019-06-01,"Deniyaya, Matara"
7.860539060937241e-05,2019-06-01,2019-06-02,"Deniyaya, Matara"
9.931037349290431e-05,2019-06-02,2019-06-03,"Deniyaya, Matara"
1.947566942113532e-05,2019-06-03,2019-06-04,"Deniyaya, Matara"
9.929395315341152e-05,2019-06-04,2019-06-05,"Deniyaya, Matara"
9.928574298366512e-05,2019-06-05,2019-06-06,"Deniyaya, Matara"
9.927753281391872e-05,2019-06-06,2019-06-07,"Deniyaya, Matara"
9.926932264417233e-05,2019-06-07,2019-06-08,"Deniyaya, Matara"
9.926111247442594e-05,2019-06-08,2019-06-09,"Deniyaya, Matara"
8.82573060809885e-05,2019-06-09,2019-06-10,"Deniyaya, Matara"
9.924469213493315e-05,2019-06-10,2019-06-11,"Deniyaya, Matara"
0.0002606536600287,2019-06-11,2019-06-12,"Deniyaya, Matara"
9.922827179544035e-05,2019-06-12,2019-06-13,"Deniyaya, Matara"
0.0001034896122957,2019-06-13,2019-06-14,"Deniyaya, Matara"
9.921185145594756e-05,2019-06-14,2019-06-15,"Deniyaya, Matara"
9.794863285570833e-05,2019-06-15,2019-06-16,"Deniyaya, Matara"
0.0001217725225117,2019-06-16,2019-06-17,"Deniyaya, Matara"
9.918722094670838e-05,2019-06-17,2019-06-18,"Deniyaya, Matara"
-1.1336369400820557e-05,2019-06-18,2019-06-19,"Deniyaya, Matara"
9.917080060721559e-05,2019-06-19,2019-06-20,"Deniyaya, Matara"
3.626547253389472e-05,2019-06-20,2019-06-21,"Deniyaya, Matara"
9.91543802677228e-05,2019-06-21,2019-06-22,"Deniyaya, Matara"
9.91461700979764e-05,2019-06-22,2019-06-23,"Deniyaya, Matara"
9.913795992823e-05,2019-06-23,2019-06-24,"Deniyaya, Matara"
9.91297497584836e-05,2019-06-24,2019-06-25,"Deniyaya, Matara"
3.066723729716614e-05,2019-06-25,2019-06-26,"Deniyaya, Matara"
5.938476593081348e-05,2019-06-26,2019-06-27,"Deniyaya, Matara"
0.0001501880620112,2019-06-27,2019-06-28,"Deniyaya, Matara"
8.48560045610269e-08,2019-06-28,2019-06-29,"Deniyaya, Matara"
1.865870755620224e-05,2019-06-29,2019-06-30,"Deniyaya, Matara"
8.076289701838124e-05,2019-06-30,2019-07-01,"Deniyaya, Matara"
0.0001565128040965,2019-07-01,2019-07-02,"Deniyaya, Matara"
7.822883224906507e-05,2019-07-02,2019-07-03,"Deniyaya, Matara"
9.905585823076604e-05,2019-07-03,2019-07-04,"Deniyaya, Matara"
6.491148472259721e-05,2019-07-04,2019-07-05,"Deniyaya, Matara"
0.0001015658193247,2019-07-05,2019-07-06,"Deniyaya, Matara"
0.0001854224783202,2019-07-06,2019-07-07,"Deniyaya, Matara"
9.519535246307652e-05,2019-07-07,2019-07-08,"Deniyaya, Matara"
0.000122118023414,2019-07-08,2019-07-09,"Deniyaya, Matara"
9.900659721228767e-05,2019-07-09,2019-07-10,"Deniyaya, Matara"
