HCHO Reading,Location,Current Date,Next Date
7.197227846448283e-05,Jaffna Proper,2020-02-21,2020-02-22
8.347691265239883e-05,Jaffna Proper,2020-02-22,2020-02-23
,Jaffna Proper,2020-02-23,2020-02-24
5.757930667226468e-05,Jaffna Proper,2020-02-24,2020-02-25
7.725994739420634e-05,Jaffna Proper,2020-02-25,2020-02-26
3.9804097462514446e-05,Jaffna Proper,2020-02-26,2020-02-27
7.14237709270203e-05,Jaffna Proper,2020-02-27,2020-02-28
8.843012933605321e-05,Jaffna Proper,2020-02-28,2020-02-29
4.356641756778726e-05,Jaffna Proper,2020-02-29,2020-03-01
2.8814101559467734e-05,Jaffna Proper,2020-03-01,2020-03-02
0.0001684369345094,Jaffna Proper,2020-03-02,2020-03-03
0.0001862468556344,Jaffna Proper,2020-03-03,2020-03-04
0.0001644682594244,Jaffna Proper,2020-03-04,2020-03-05
0.0002324229845154,Jaffna Proper,2020-03-05,2020-03-06
0.0001449451848775,Jaffna Proper,2020-03-06,2020-03-07
7.774251157396505e-05,Jaffna Proper,2020-03-07,2020-03-08
0.0001072160492804,Jaffna Proper,2020-03-08,2020-03-09
0.0001103523057295,Jaffna Proper,2020-03-09,2020-03-10
9.90231858816019e-05,Jaffna Proper,2020-03-10,2020-03-11
7.955342544761896e-05,Jaffna Proper,2020-03-11,2020-03-12
0.0001496994078351,Jaffna Proper,2020-03-12,2020-03-13
9.842867081587472e-05,Jaffna Proper,2020-03-13,2020-03-14
0.0001332711000619,Jaffna Proper,2020-03-14,2020-03-15
1.8956272504751883e-05,Jaffna Proper,2020-03-15,2020-03-16
8.713500469213551e-05,Jaffna Proper,2020-03-16,2020-03-17
0.0001123207601274,Jaffna Proper,2020-03-17,2020-03-18
0.0001294944422762,Jaffna Proper,2020-03-18,2020-03-19
0.0001202206094906,Jaffna Proper,2020-03-19,2020-03-20
0.000103826284466,Jaffna Proper,2020-03-20,2020-03-21
9.956436540570198e-05,Jaffna Proper,2020-03-21,2020-03-22
0.0001300715553382,Jaffna Proper,2020-03-22,2020-03-23
7.174089589571813e-05,Jaffna Proper,2020-03-23,2020-03-24
0.0001758335219706,Jaffna Proper,2020-03-24,2020-03-25
0.0001529355307339,Jaffna Proper,2020-03-25,2020-03-26
8.282055702708246e-05,Jaffna Proper,2020-03-26,2020-03-27
6.972330897534165e-05,Jaffna Proper,2020-03-27,2020-03-28
0.0001057945951732,Jaffna Proper,2020-03-28,2020-03-29
0.0001576527019665,Jaffna Proper,2020-03-29,2020-03-30
